anio,datos faltantes,porcentaje_datos_faltantes,proporcion,porcentaje_total
2011,2848643,6.21258934769647,99.98241577119303,6.213681975752424
2012,4773934,9.231286922999368,99.79451327448429,9.250295051401034
2013,6557642,12.03655229506706,99.95866076739149,12.041530171234168
2014,4659851,8.33664782333184,99.81324045692791,8.352246440620597
2015,4136227,6.9885150666548785,99.88910406371298,6.996273649824053
2016,3435312,5.738475181569912,99.99810792236194,5.738583760029977
2017,4405752,7.202900771088919,99.99911480140572,7.202964531629699
2018,104479,0.1724299895854458,99.20995907360106,0.17380310524825932
2019,191362,0.3142842539978852,99.77371790861123,0.3149970358784836
2020,117779,0.2009578217720692,99.85586990987628,0.20124788052364
